タグ	使用頻度	略語	英文	和訳	説明	具体例
挨拶,定型表現	3	30	I have no more to send	これ以上なし	メッセージなし終了。	トラフィック終了「NM 30 AR」でこれ以上送信なし。
挨拶,定型表現	1	33	Fondest Regards	親愛の挨拶	親愛の挨拶。	YL間で「TNX QSO 33 73」で友情の挨拶。
挨拶,定型表現	1	44	Flora and Fauna	動植物	動植物。	「44 WX」で天気動植物。
挨拶,定型表現	1	55	Best Success	成功を祈る	成功祈る。	「55 GL」で成功。
挨拶,定型表現	2	72	Best Regards	よろしく(QRP用)	QRP用よろしく。	QRP運用「72 DE K4SWL」で5W以下を示す。
挨拶,定型表現	4	73	Best regards	よろしく/さようなら	交信の締めで使う定番の挨拶。単数形として扱う。	交信終了時に「TNX QSO 73」と送る。
挨拶,定型表現	4	88	Love and kisses	愛を込めて	親しい相手に使う愛情表現。通常の交信では相手や文脈を選ぶ。	親しい相手への締めに「73 88」と送る。
挨拶,定型表現	1	99	Best wishes	成功を祈る(主にコンテスト)	コンテストの励まし。	コンテスト「99 GL IN CONTEST」で幸運を祈る。
挨拶,定型表現	1	161	Best regards to you and your XYL	家族によろしく	家族によろしく。	「161 XYL」で妻に。
挨拶,定型表現,プロサイン	3	[?]	Question Mark / I repeat	疑問/繰り返し	疑問や繰り返し。	「? AGN」で繰り返し。
送受,制御,プロサイン	3	[AA]	All after	以降すべて	メッセージの指定点以降の繰り返しを依頼。	? AA で以降の部分を再送依頼。
送受,制御,プロサイン	3	[AB]	All before	以前すべて	メッセージの指定点以前の繰り返しを依頼。	? AB で以前の部分を再送依頼。
送受,制御,プロサイン	5	[AR]	End of message	本文終了	メッセージ本文の終わりを示すプロサイン。	電文の終わりに「AR」を送り、本文終了を示す。
送受,制御,プロサイン	5	[AS]	Wait / Stand by	しばらくお待ちください	相手に一時待機を求めるプロサイン。	調整中に「AS」と送り、少し待ってもらう。
送受,制御,プロサイン	4	[BK]	Break	ブレーク/割り込み	会話の区切りや短い割り込みを示すプロサイン。	短いやり取りで「BK」を送り、相手に送信を戻す。
送受,制御,プロサイン	4	[BN]	All between	間すべて	メッセージの2点間の繰り返しを依頼。	BN AA AB で間の部分を再送。
送受,制御,プロサイン	5	[BT]	Separator / Break between message parts	区切り	文や電文の区切りを示すプロサイン。	「NAME TARO BT QTH TOKYO」のように項目を区切る。
送受,制御,プロサイン	3	[CL]	Closing station	閉局します	運用を終了して局を閉じることを示すプロサイン。	最後に「73 SK CL」で閉局を伝える。
送受,制御,プロサイン	1	[CT]	Start of transmission	送信開始またはテスト信号	送信開始時にCTを送りテストや本開始を示す。	テスト送信「CT CT」で確認。
送受,制御,プロサイン	5	[HH]	Error / correction signal	訂正信号	送信ミスを取り消して訂正するためのプロサイン。	送信ミス後に「HH」を送り、正しい内容を打ち直す。
送受,制御,プロサイン	5	[OSO]	OSO prosign	OSOプロサイン	OSOを一続きの符号として送るプロサイン。	必要な手順信号として「OSO」を文字間隔なしで送る。
送受,制御,プロサイン	5	[SOS]	Distress signal	遭難信号	緊急時に用いる国際的な遭難信号。	遭難時に「SOS SOS SOS」と反復して送る。
確認,返答	3	[IMI]	Repeat; Say again	繰り返し/もう一度言って	特定の部分の繰り返しを依頼。	特定部分「IMI LAST WORD」で最後の単語再送依頼。
送受,制御,プロサイン	4	[QSK]	Can you operate break-in?	ブレイクイン可能ですか？	送受信の即時切り替えを尋ねる。	フルブレイクイン確認「QSK?」で即座送受切替可能か確認。
確認,返答,プロサイン	5	[RPT]	Repeat (again)	繰り返してください	繰り返しを依頼。	ノイズで「RPT QTH」で位置再送依頼。
送受,制御,プロサイン	4	[SK]	End of contact	交信終了	交信の完全な終了を示すプロサイン。	「TU 73 SK」で交信を終了する。
送受,制御,プロサイン	5	[VA]	End of work	通信終了/さようなら	通信の終了を示すプロサイン。	最終送信で「73 VA」と送り終了を示す。
挨拶,定型表現,プロサイン	5	[VVV]	General call or test call	一般呼び出し、またはテスト送信	テストや一般呼び。	テスト送信「VVV VVV DE JA1ABC」で信号確認。
設備,用語	4	ABT	About	約	およそ。	「ABT 20M」で20m帯約。
メッセージ処理	3	ADEE	Addressee	宛先	メッセージの受信者。	正式メッセージで「ADEE JA1ABC」。
設備,用語	2	ADR	Address	住所	住所詳細。	QSL用「ADR TOKYO」で住所。
設備,用語	2	ADS	Address	住所	住所略。	「ADS JP3XXX」でコール住所。
設備,用語	1	AF	Africa	アフリカ	大陸指定。	「AF DX」でアフリカ。
確認,返答	4	AGN	Again	もう一度	聞き取れなかった部分を再送依頼。	再送依頼「AGN RST PSE」でレポート再送要求。
設備,用語	1	ANI	Any	任意	任意。	「ANI FREQ」で任意周波数。
設備,用語	3	ANS	Answer	回答	返答。	質問に「ANS C」でYes。
設備,用語	4	ANT	Antenna	アンテナ	アンテナの種類を伝える。	アンテナ「ANT DIPOLE 20M」でアンテナ種類。
設備,用語	4	B4	Before	以前	以前。	「B4 QSO」で前交信。
設備,用語	3	BCI	Broadcast Interference	放送干渉	放送干渉。	「BCI TV」でTV妨害。
干渉関連	3	BCI	Broadcast interference	放送干渉	放送局からの干渉。	「BCI on TV」でTV干渉報告。
設備,用語	2	BCK	Back	戻る	戻る。	トピック「BCK QTH」で位置に戻る。
設備,用語	1	BCL	Broadcast Listener	放送聴取者	放送リスナー。	「BCL QRM」で干渉注意。
設備,用語	3	BCNU	Be seeing you	また会いましょう	別れ。	再会「BCNU 73 SK」でまた会いましょう。
設備,用語	1	BCSE	Because	なぜなら	理由。	「BCSE QRN」でノイズのため。
設備,用語	2	BD	Bad	悪い	悪い。	「BD COPY」で聞き取り悪い。
設備,用語	2	BN	Been	であった	過去。	「BN QSO」であった。
設備,用語	1	BTH	Both	両方	両方。	「BTH OK」で両方可。
設備,用語	2	BTR	Better	より良い	より良い。	「BTR RST」でレポート改善。
設備,用語	2	BTU	Back to you	お返事	返事。	返事「BTU OM」でお返事どうぞ。
設備,用語	3	BTW	By the way	ところで	ちなみに。	ちなみに「BTW WX FB」でところで天気良好。
設備,用語	1	BUG	Semi-Automatic Key	バグキー	半自動キー。	「BUG KEY」でキー種類。
設備,用語	3	BURO	Bureau	ビューロー	QSL局。	ビューロー「QSL VIA BURO」で局経由カード。
確認,返答	4	C	Yes; Correct	はい、正しい	肯定や正解の確認にCを使用。	肯定「QRL? C」でYes周波数使用中。
設備,用語	3	CBA	Call book address	コールブック住所	コールブック住所。	「CBA JP3XXX」で住所確認。
確認,返答	4	CFM	Confirm	確認します/確認してください	確認を求める際にCFM。	確認依頼「CFM MY QTH」で位置確認要求。
設備,用語	3	CK	Check	確認	確認。	「CK SIG」で信号確認。
設備,用語	1	CKT	Circuit	回路	回路。	「CKT ANT」でアンテナ回路。
設備,用語	1	CLD	Called	呼ばれた	呼ばれた。	「CLD CQ」で呼ばれた。
設備,用語	4	CLG	Calling	呼んでいる	呼んでいる。	「CLG DX」でDX呼び。
設備,用語	3	CLR	Clear	明瞭	明瞭。	「CLR COPY」でクリア受信。
設備,用語	1	CMG	Coming	来る	来る。	「CMG SKED」でスケジュール来る。
設備,用語	2	CNT	Can't or Cannot	できない	できない。	「CNT HRD」で聞こえない。
設備,用語	3	CONDX	Condition	状態	条件。	条件「CONDX POOR」でコンディション悪い。
設備,用語	1	CP	CP	特定の呼び出し	特定の呼び。	「CP JA1ABC」でコール。
設備,用語	4	CPI	Copy	受信/コピー	CPYと同様に受信できたことを表す略語。	「CPI OK」で問題なく受信できたことを伝える。
確認,返答	4	CPY	Copy	受信/コピー	相手の信号や内容を受信できたこと、または受信状態を表す略語。	「HW CPY?」で受信できているか尋ねる。
挨拶,定型表現	5	CQ	Calling any station	全局呼び出し(誰でも応答可)	任意局呼び出し。	一般呼出「CQ CQ CQ DE JA1ABC K」で任意局募集。
設備,用語	2	CRD	Card	カード	カード。	「CRD QSL」でカード。
設備,用語	1	CSE	Because	なぜなら	理由。	「CSE QRM」で干渉のため。
設備,用語	2	CUD	Could	?できますか？	可能性を尋ねる丁寧表現。	「CUD U MOVE UP 3 ?」で「3kHz上がってもらえませんか？」。
設備,用語	4	CUL	See you later	また後で	また後で。	再会「CUL 73」で後ほどまた。
設備,用語	1	CUZ	Because	なぜなら	理由。	「CUZ QRN」でノイズで。
設備,用語	4	CW	Continuous Wave	連続波	連続波。	CW運用「CW ONLY」でCW専用運用。
挨拶,定型表現	5	DE	From (identification)	こちらは…(局の識別)	自己識別。	局識別「W8ABC DE KB6NU」で送信元明示。
メッセージ処理	1	DLD	Delivered	配達済み	メッセージの配信確認。	「DLD OK」で配信完了。
設備,用語	1	DO	DO	ホレ	ここ。	「DO QTH」でここ位置。
設備,用語	2	DP	Dipole	ダイポール	ダイポール。	「DP ANT」でアンテナ。
挨拶,定型表現	3	DR	Dear	こんにちは、親愛なる	親しみを込めた挨拶。	親愛「DR OM FB QSO」で親しい呼びかけ。
設備,用語	1	DSW	Goodby	さようなら	さようなら。	「DSW GB」で別れ。
設備,用語	4	DX	Long distance	遠距離通信	遠距離交信を意味。	遠距離「DXCC 100 WKD」でDX達成。
設備,用語	4	ES	and	そして/および	英語のandに相当するCW略語。	「73 ES TU」で「よろしく、そしてありがとう」と伝える。
設備,用語	2	EU	Europe	ヨーロッパ	ヨーロッパ。	「EU DX」で欧州。
設備,用語	1	EYE	I	I	私。	「EYE OM」で私は男性。
設備,用語	5	EX	From; former	元/以前の	以前や元を表す略語。	「EX CALL」で以前のコールサインを示す。
設備,用語	5	EXZ	Except	除く	例外や除外を表す略語。	「ALL EXZ QRM」で混信を除く全てを示す。
設備,用語	4	FB	Fine business	素晴らしい/了解良好	よい状態や満足を表す定番CW略語。	「FB SIG」で信号が良好であることを伝える。
設備,用語	4	FER	for	…に対して/…をありがとう	英語のforに相当するCW略語。	「TNX FER CALL」で呼び出しへの感謝を伝える。
設備,用語	4	FIST	Unique characteristic of an operator's sending of CW	オペレーターの送信癖	個々の送信スタイルを指す。	送信技術「NICE FIST OM」で上手な送信。
設備,用語	2	FM	From	から	から。	「FM JA1ABC」でから。
挨拶,定型表現	3	FN	Fine, nice	元気です/よい	調子の良さを伝える。	調子良好「UR RST 599 FN」で良好伝達。
挨拶,定型表現	3	FN WX	Good weather	いい天気です	天気の良さを共有。	好天「FN WX TEMP 20C」で天気良好。
設備,用語	2	FREQ	Frequency	周波数	周波数。	周波数「FREQ 14000」で周波数指定。
設備,用語	2	FRM	From	から	から。	「FRM QTH」で位置から。
挨拶,定型表現	4	GA	Good afternoon or Go ahead	こんにちは/どうぞ	午後挨拶。もしくは送信許可。	午後の挨拶「GA FB SIG」で午後の応答。または「QRL? GA」で送信許可。
挨拶,定型表現	4	GB	Goodbye	さようなら	別れの挨拶。	別れ「GB 73 SK」でさようなら。
設備,用語	4	GD	Good or Good Day	良い一日を	良い日。	「GD MORN」でおはよう。
挨拶,定型表現	4	GE	Good evening	こんばんは	夕方の挨拶。	夜の挨拶「GE OM UR 599」で夕方交信開始。
設備,用語	1	GESS	Guess	推測	推測。	「GESS RST 599」で推測。
設備,用語	1	GG	Going	行く	行く。	「GG QRT」で終了行く。
挨拶,定型表現	4	GL	Good luck	幸運を祈る	コンテストや運用開始時の励まし。	コンテスト「GL IN CONTEST」で幸運を祈る。
設備,用語	2	GLD	Glad	嬉しい	嬉しい。	「GLD QSO」で交信嬉しい。
挨拶,定型表現	4	GM	Good morning	おはよう	朝の挨拶。	朝の挨拶「GM OM TNX CALL」で朝の交信開始。
挨拶,定型表現	4	GN	Good night	おやすみ	就寝前の挨拶。	就寝前「GN TU 73 SK」でおやすみの挨拶。
設備,用語	3	GND	Ground	グラウンド	グラウンド。	「GND CON」でグラウンド接続。
設備,用語	3	GP	Ground Plane	グランドプレーン	グランドプレーン。	「GP ANT」でアンテナ。
設備,用語	2	GS	Green Stamp	ドル札	ドル。	SASE「GS PSE」で切手。
設備,用語	4	GUD	Good	良い	goodを短く送るためのCW略語。	「GUD CPY」で良好に受信できていることを伝える。
設備,用語	1	GV	Give	与える	与える。	「GV RST」でレポート与える。
設備,用語	1	GVG	Giving	与えている	与えている。	「GVG INFO」で情報与え。
挨拶,定型表現	4	HI	Laugh (like "haha")	(笑)	笑いの表現。	笑い「FB WX HI HI」で冗談や笑い。
設備,用語	5	HR	Here; Hear	ここ/聞こえる	場所や受信を表す略語。	「HR QTH TOKYO」でこちらの場所を伝える。
挨拶,定型表現	4	HNY	Happy New Year	明けましておめでとう	新年の挨拶。	新年「HNY 73 OM」で明けましておめでとう。
設備,用語	4	HNY	A Happy New Year	明けましておめでとう	新年。	「HNY 73」でおめでとう。
設備,用語	4	HPE	Hope	希望	希望。	希望「HPE QSL」でカード希望。
設備,用語	1	HQ	Headquarters	本部	本部。	「HQ JARL」で本部。
設備,用語	3	HRD	Heard	聞いた	聞いた。	「HRD U」であなた聞いた。
設備,用語	1	HRS	Hours	時間	時間。	「HRS 2」で2時間。
設備,用語	4	HV	Have	持つ	持つ。	「HV QSL」でカード持つ。
設備,用語	1	HVG	Having	持っている	持っている。	「HVG ANT」でアンテナ持つ。
設備,用語	2	HVY	Heavy	重い	重い。	「HVY QRM」で干渉重い。
設備,用語	4	HW	How / How copy?	いかがですか？/受信状態は？	howの略。特に「HW CPY?」で受信状態を尋ねる。	「HW CPY?」でこちらの信号がどう聞こえるか尋ねる。
設備,用語	2	INFO	Information	情報	情報。	「INFO DX」でDX情報。
送受,制御	5	K	Go ahead (invite any station to transmit)	(送信を)どうぞ	通常の交信でメッセージ送信後、Kを送って任意の局に送信を許可。	通常交信後「DE JA1ABC K」で任意局に送信許可。
設備,用語	1	KLIX	Key Clicks	キークリック	キークリック。	「KLIX SORRY」でクリック謝罪。
送受,制御	4	KN	Go ahead (specific station only)	特定局どうぞ(他局送信禁止)	特定局との交信で、他局の割り込みを防ぎKNを送る。	特定局のみ「DE JA1ABC KN」で他局の割り込み防止。
設備,用語	4	LID	A poor operator	下手なオペレーター	下手オペ。	「LID HI」で自嘲。
設備,用語	1	LIL	Little	小さい	小さい。	「LIL PWR」で低出力。
設備,用語	2	LNG	Long	長い	長い。	「LNG PATH」で長経路。
設備,用語	3	LP	Long Path	長経路	長経路。	「LP DX」で長経路。
設備,用語	3	LSN	Listen	聞く	聞く。	「LSN PSE」で聞いて。
設備,用語	1	LTL	Little	小さい	小さい。	「LTL ANT」で小型アンテナ。
設備,用語	2	LTR	Letter or Later	手紙または後で	手紙後で。	「LTR BURO」で手紙局経由。
設備,用語	1	LV	Leave	去る	去る。	「LV QRT」で去る終了。
設備,用語	1	LVG	Leaving	去っている	去っている。	「LVG SOON」ですぐ去る。
設備,用語	3	LW	Long Wire or Long Wave	ロングワイヤー	ロングワイヤー。	「LW ANT」でアンテナ。
設備,用語	1	MA	Milliampers	ミリアンペア	ミリアンペア。	「MA 100」で電流。
設備,用語	3	MGR	Manager	マネージャー	マネージャー。	「MGR CLUB」でクラブマネージャー。
設備,用語	1	MI	My	私の	私の。	「MI QTH」で私の位置。
設備,用語	1	MICRO	micro computer	マイクロコンピューター	マイコン。	「MICRO LOG」でログ用。
設備,用語	1	MM	Maritime mobile	海上移動	海上移動。	「MM /SHIP」で船上。
設備,用語	3	MNI	many	多い	多い。	多数「MNI TNX」で多数感謝。
設備,用語	1	MOM	Moment	瞬間	瞬間。	「MOM PSE」で少し待って。
設備,用語	3	MSG	Message	メッセージ	メッセージ。	「MSG QTC」でメッセージ。
設備,用語	2	MTRS	meters	メートル	メートル。	「MTRS 20」で20m。
設備,用語	2	MULT	Multiplier	マルチプライヤー	マルチプライヤー。	コンテスト「MULT 50」で50。
設備,用語	4	N	No	いいえ	いいえ。	否定「QRM? N」でNo干渉なし。
確認,返答	4	YES	Yes	はい	肯定を表す略語。	質問への返答に「YES」で肯定する。
設備,用語	2	NA	North America	北米	北米。	「NA DX」で北米。
設備,用語	2	NCS	Net Control Station	ネットコントロール	ネットコントロール。	「NCS CQ」でネット開始。
設備,用語	1	ND	Nothing Doing	だめ	だめ。	「ND QSY」で変更不可。
設備,用語	5	NIL	Nothing	何もありません	無し。	「NIL QTC」でメッセージなし。
設備,用語	2	NITE	Night	夜	夜。	「NITE GN」で夜おやすみ。
メッセージ処理	3	NM	No more	以上なし	送信終了の意味。	「NM to send」でこれ以上なし。
設備,用語	4	NR	Number, Near	番号または近く	番号近く。	「NR 10」で10番。
設備,用語	4	NW	Now	今/現在	現在を意味。	現在「NW QRT」で今終了。
設備,用語	3	OB	Old boy	男性局員	男性オペレーターを親しみを込めて呼ぶ略語。	「FB OB TNX QSO」で男性局に感謝。
設備,用語	1	OC	Old Chum/Chap or Oceania	古い友人またはオセアニア	古い友人オセアニア。	「OC OM」で古友。
設備,用語	5	OK	Correct	正しい	正しい。	了承「OK TNX」で了解感謝。
設備,用語	4	OM	Old man	男性局員/親しい男性オペレーター	男性アマチュア無線家への親しみを込めた呼び方。	「FB OM TNX」で男性局に親しみを込めて感謝する。
設備,用語	4	OP	Operator	運用者/オペレーター	運用している人を表す略語。	「OP IS TARO」で運用者名を伝える。
設備,用語	4	OPR	Operator	運用者/オペレーター	OPと同じく運用者を表す略語。	「OPR JA1ABC」で運用者を示す。
設備,用語	2	OT	Old timer, Old Top	古株	古株。	「OT HI」でベテラン。
設備,用語	1	OW	Old Woman	老婦人	老婦人。	「OW XYL」で妻。
設備,用語	4	PSE	Please	お願いします	依頼を丁寧にするための定番CW略語。	「PSE QRS」でゆっくり送ってほしいと依頼する。
設備,用語	1	PSED	Pleased	喜ぶ	喜ぶ。	「PSED QSO」で喜ぶ。
